# 기조 절의 항목 — 사람이 원문을 보고 옮겨 적는다.
#
# ordinal 은 **문서에 인쇄된 번호** 다. 우리가 계산한 값이 아니다(스펙 §1).
# ordinalSource 는 그 번호를 어느 절에서 가져왔는지다:
#   기조절  — 「외교정책 기조」 절 안에 번호(또는 서수 낱말·글머리 기호)가 있다
#   시책절  — 기조 절이 산문이라 번호가 없어, 같은 항목을 번호로 받은 「주요 외교시책」 절에서 가져왔다
# 두 절이 1:1로 대응하는지는 사람이 해마다 확인한다.
#
# quote 는 원문 그대로여야 한다. verify.py 가 text/<연도>.txt 와 글자 단위로
# 대조하고, 하나라도 어긋나면 빌드를 멈춘다.
# 원문 중간에 쪽 머리글이 끼어드는 자리는 (…) 로 끊는다 — 생략 표시이자
# '여기서 쪽이 넘어간다'는 기록이다.
#
# flags: title-lost | from-preface | partial | ocr | lead-only
#
id	coverageYear	ordinal	ordinalSource	title	quote	stream	srcEdition	srcChapter	srcSection	srcPage	flags
2000-5	2000	5	시책절	재외동포의 권익보호 및 자조 노력 지원	구소련 및 중국과의 수교에 따른 동포사회의 확대와 일본 및 미국의 재외동포사회가 세대교체를 겪는 시기를 맞아 재외동포사회의 변화에 보다 적극적으로 대응하면서 21세기 무한경쟁시대에 대처하기 위하여 재외동포정책 수립 및 시행에 있어 우리 정부의 보다 세심한 접근이 요망되고 있다.	overseas-koreans	2001 외교백서	2	2		
2002-1	2002	1	시책절	한반도 평화공존 기반 구축 외교	1. 한반도 평화공존 기반 구축 외교	peninsula	2003 외교백서	2	2	130	heading-only
2002-2	2002	2	시책절	일류경제 경쟁력 실현을 위한 경제·통상 외교	2. 일류경제 경쟁력 실현을 위한 경제·통상 외교	economy	2003 외교백서	2	2	131	heading-only
2002-3	2002	3	시책절	다자협력 및 민주주의 인권신장을 위한 외교	3. 다자협력 및 민주주의 인권신장을 위한 외교	global-role	2003 외교백서	2	2	135	heading-only
2002-4	2002	4	시책절	문화외교의 적극 추진	문화의 세기 21세기의 개막과 더불어 세계 각국은 세계화와 정보혁명의 물결속에서 자국문화의 정체성 확보와 더불어 세계문화의 다양성 확보가 세계평화와 발전의 초석이 되고 있음을 깊이 인식하게 되었다.	public-diplomacy	2003 외교백서	2	2	137	
2002-5	2002	5	시책절	영사업무 강화와 재외동포 권익신장	5. 영사업무 강화와 재외동포 권익신장	overseas-koreans	2003 외교백서	2	2	139	heading-only
2002-6	2002	6	시책절	외교역량 강화	6. 외교역량 강화	capacity	2003 외교백서	2	2	141	heading-only
2001-1	2001	1	기조절	대북 화해·협력 정책에 대한 국제사회의 지지를 확보	첫째, 우리의 대북 화해·협력 정책에 대한 국제사회의 지지를 확보하여 한반도에서 평화체제의 기반을 구축하기 위한 외교적 노력을 전개하였다.	peninsula	2002 외교백서	2	1		partial
2001-2	2001	2	기조절	한반도 주변 4국 등 주요국과의 실질협력관계를 심화·발전	둘째, 한반도 주변 4국 등 주요국과의 실질협력관계를 심화·발전시키기 위해 노력하였다.	neighbors	2002 외교백서	2	1		partial
2001-3	2001	3	기조절	지속적 경제발전을 뒷받침하는 경제·통상외교를 강화	셋째, 지속적 경제발전을 뒷받침하는 경제·통상외교를 강화하였다.	economy	2002 외교백서	2	1		partial
2001-4	2001	4	기조절	지역협력 활동을 한층 강화	넷째, 지역협력 활동을 한층 강화하였다.	regional	2002 외교백서	2	1		partial
2001-5	2001	5	기조절	유엔 등 국제기구에 대한 외교강화와 아울러 인류보편적 가치 신장 및 범세계적 문제 해결에 적극 기여	다섯째, 유엔 등 국제기구에 대한 외교강화와 아울러 인류보편적 가치 신장 및 범세계적 문제 해결에 적극 기여하였다.	global-role	2002 외교백서	2	1		partial
2001-6	2001	6	기조절	국제 문화·체육 교류의 확대·심화	여섯째, 국제 문화·체육 교류의 확대·심화를 위해 노력하였다.	public-diplomacy	2002 외교백서	2	1		partial
2003-1	2003	1	시책절	북한핵문제의 평화적 해결 및 한반도 평화체제 구축을 위한 대외환경 조성	첫째, 북한핵문제의 평화적 해결을 위해 최선의 노력을 경주하고, 한반도 평화체제 구축을 위한 대외환경을 조성하는 데 노력하였다.	peninsula	2004 외교백서	2	1	151	
2003-2	2003	2	시책절	이라크 전후대책의 전개	둘째, 이라크 전후대책을 적극적으로 전개하고 이라크 전후 복구 및 안정화에 기여하였다.	iraq	2004 외교백서	2	1	151	
2003-3	2003	3	시책절	평화번영의 동북아시대를 실현하기 위한 외교적 기반 확충	셋째, 동북아 경제중심을 실현하기 위한 외교적 기반을 확충하는 데 노력하였다.	regional	2004 외교백서	2	1	151	
2003-4	2003	4	시책절	일류경제 경쟁력 실현을 위한 경제·통상 외교	넷째, 개방화가 심화되고 있는 경제환경에 적극적으로 대응하는 경제통상외교를 전개하여 우리 경제가 지속적으로 발전하는 데 기여할 수 있도록 노력하였다.	economy	2004 외교백서	2	1	151	
2003-5	2003	5	시책절	다자외교에서의 위상 제고 및 인류보편적 가치 신장 노력	다섯째, 테러 등 범세계적 문제의 해결에 기여하기 위해 노력하는 한편, 다자외교에서의 위상을 제고하고, 인권, 민주주의 등 인류보편적 가치를 신장하기 위한 국제사회의 노력에 적극 동참하였다.	global-role	2004 외교백서	2	1	151	
2003-6	2003	6	시책절	영사업무 강화와 재외동포 권익 신장	여섯째, 해외여행자 및 체류자 등 재외국민을 보호하고, 재외동포(…)가 거주국의 모범시민으로서 성장할 수 있도록 육성하는 데 노력하였다.	overseas-koreans	2004 외교백서	2	1	151	page-break
2003-7	2003	7	시책절	문화외교 활동 강화	일곱째, 문화국가로서의 대외적 이미지를 고양시키기 위해 각종 문화·체육외교를 통해 우리 문화에 대한 국제적 인식을 제고시켰다.	public-diplomacy	2004 외교백서	2	1	151	
2003-8	2003	8	시책절	외교·통상 역량 강화	여덟째, 참여정부의 국정과제 추진과 외교환경 변화에 효율적으로 대응하기 위하여 외교·통상역량을 강화하는 데 힘을 기울였다.	capacity	2004 외교백서	2	1	151	
2013-1	2013	1	기조절	북핵문제 진전을 위한 동력 강화	신정부는 '국민과 함께 하는 신뢰외교' 기조하에 ▲북핵문제 진전을 위한 동력 강화 ▲한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화 ▲동북아 평화협력 구상과 유라시아 협력 확대 ▲세계평화와 발전에 기여하는 책임 있는 중견국 실현 ▲재외국민 안전·권익 보호와 공공외교 확대 ▲경제외교를 통한 경제부흥 선도 등 6개 추진과제를 설정하고	peninsula	2014 외교백서	1	2	23	lead-only
2013-2	2013	2	기조절	한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화	신정부는 '국민과 함께 하는 신뢰외교' 기조하에 ▲북핵문제 진전을 위한 동력 강화 ▲한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화 ▲동북아 평화협력 구상과 유라시아 협력 확대 ▲세계평화와 발전에 기여하는 책임 있는 중견국 실현 ▲재외국민 안전·권익 보호와 공공외교 확대 ▲경제외교를 통한 경제부흥 선도 등 6개 추진과제를 설정하고	neighbors	2014 외교백서	1	2	23	lead-only
2013-3	2013	3	기조절	동북아 평화협력 구상과 유라시아 협력 확대	신정부는 '국민과 함께 하는 신뢰외교' 기조하에 ▲북핵문제 진전을 위한 동력 강화 ▲한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화 ▲동북아 평화협력 구상과 유라시아 협력 확대 ▲세계평화와 발전에 기여하는 책임 있는 중견국 실현 ▲재외국민 안전·권익 보호와 공공외교 확대 ▲경제외교를 통한 경제부흥 선도 등 6개 추진과제를 설정하고	regional	2014 외교백서	1	2	23	lead-only
2013-4	2013	4	기조절	세계평화와 발전에 기여하는 책임 있는 중견국 실현	신정부는 '국민과 함께 하는 신뢰외교' 기조하에 ▲북핵문제 진전을 위한 동력 강화 ▲한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화 ▲동북아 평화협력 구상과 유라시아 협력 확대 ▲세계평화와 발전에 기여하는 책임 있는 중견국 실현 ▲재외국민 안전·권익 보호와 공공외교 확대 ▲경제외교를 통한 경제부흥 선도 등 6개 추진과제를 설정하고	global-role	2014 외교백서	1	2	23	lead-only
2013-5	2013	5	기조절	재외국민 안전·권익 보호와 공공외교 확대	신정부는 '국민과 함께 하는 신뢰외교' 기조하에 ▲북핵문제 진전을 위한 동력 강화 ▲한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화 ▲동북아 평화협력 구상과 유라시아 협력 확대 ▲세계평화와 발전에 기여하는 책임 있는 중견국 실현 ▲재외국민 안전·권익 보호와 공공외교 확대 ▲경제외교를 통한 경제부흥 선도 등 6개 추진과제를 설정하고	overseas-koreans	2014 외교백서	1	2	23	lead-only
2013-6	2013	6	기조절	경제외교를 통한 경제부흥 선도	신정부는 '국민과 함께 하는 신뢰외교' 기조하에 ▲북핵문제 진전을 위한 동력 강화 ▲한미동맹과 한중 동반자 관계의 조화·발전 및 한일관계 안정화 ▲동북아 평화협력 구상과 유라시아 협력 확대 ▲세계평화와 발전에 기여하는 책임 있는 중견국 실현 ▲재외국민 안전·권익 보호와 공공외교 확대 ▲경제외교를 통한 경제부흥 선도 등 6개 추진과제를 설정하고	economy	2014 외교백서	1	2	23	lead-only
2004-1	2004	1	기조절	북한핵문제를 6자회담을 통해 평화적으로 해결할 수 있는 기초를 마련	첫째, 한반도와 동북아 지역의 평화와 안정에 최대 위협요인인 북한핵문제를 6자회담을 통해 평화적으로 해결할 수 있는 기초를 마련하기 위해 활발한 외교노력을 경주하였다.	peninsula	2005 외교백서	1	2	24	
2004-2	2004	2	기조절	한·미동맹의 발전적인 재조정을 모색	둘째, 우리나라의 국력이 신장되고 국민들의 주권의식이 성숙되는 가운데 그간 한반도와 동북아의 평화와 번영에 초석이 되어온 한·미동맹의 발전적인 재조정을 모색하였다.	neighbors	2005 외교백서	1	2	24	
2004-3	2004	3	기조절	한반도에 평화체제를 구축하기 위한 대외환경을 조성	셋째, 한반도에 평화체제를 구축하기 위한 대외환경을 조성하는 데 외교적 노력을 경주하였다.	peninsula	2005 외교백서	1	2	24	
2004-4	2004	4	기조절	동북아 경제중심 실현을 위한 외교적 기반 확충	넷째, 동북아 경제중심 실현을 위한 외교적 기반 확충에 노력하였다.	regional	2005 외교백서	1	2	24	
2004-5	2004	5	기조절	전방위 정상외교를 추진	다섯째, 우리의 국익신장과 외교지평을 확대하기 위해 2004년 중 3개 대륙, 12개 국가를 방문하는 전방위 정상외교를 추진하였다.	regional	2005 외교백서	1	2	24	
